employee_id,department,timestamp,app_used,task_category,duration_minutes,is_repetitive
E001,Sales,2025-10-14 09:23:00,Salesforce,CRM Updates,45,TRUE
E001,Sales,2025-10-14 10:15:00,Gmail,Email Triage,62,TRUE
E001,Sales,2025-10-14 11:30:00,Zoom,Meetings,60,false
E001,Sales,2025-10-15 09:00:00,Salesforce,CRM Updates,38,1
E001,Sales,2025-10-15 10:45:00,Gmail,Email Triage,55,yes
E001,Sales,2025-10-16 09:10:00, Salesforce ,CRM Updates,42,TRUE
E001,Sales,2025-10-16 11:00:00,Zoom,Meetings,30,0
E001,Sales,2025-10-17 09:00:00,gmail,Email Triage,68,YES
E001,Sales,2025-10-17 10:30:00,Salesforce,CRM Updates,40,True
E001,Sales,2025-10-18 09:15:00,Excel,Report Generation,90,TRUE
E002,Finance,2025-10-14 09:00:00,Excel,Report Generation,120,TRUE
E002,Finance,2025-10-14 11:30:00,Outlook,Email Triage,45,TRUE
E002,Finance,2025-10-14 14:00:00,SAP,Data Entry,75,1
E002,Finance,2025-10-15 09:00:00,Excel,Report Generation,95,TRUE
E002,Finance,2025-10-15 11:00:00,Outlook,Email Triage,52,yes
E002,Finance,2025-10-15 14:00:00,SAP,Data Entry,80,1
E002,Finance,2025-10-16 09:00:00,Excel,Report Generation,110,TRUE
E002,Finance,2025-10-17 09:00:00,Outlook,Email Triage,38,Yes
E002,Finance,2025-10-17 14:00:00,SAP,Data Entry,65,TRUE
E002,Finance,2025-10-18 09:00:00,Excel,Report Generation,105,1
E003,Operations,2025-10-14 09:30:00,Jira,Scheduling,45,false
E003,Operations,2025-10-14 11:00:00,Confluence,Documentation,60,0
E003,Operations,2025-10-14 14:00:00,Slack,Meetings,30,no
E003,Operations,2025-10-15 09:00:00,Jira,Scheduling,50,FALSE
E003,Operations,2025-10-15 11:30:00,Excel,Data Entry,75,TRUE
E003,Operations,2025-10-16 09:00:00,Jira,Scheduling,42,false
E003,Operations,2025-10-16 14:00:00,Confluence,Documentation,55,0
E003,Operations,2025-10-17 09:00:00,Excel,Data Entry,80,TRUE
E003,Operations,2025-10-18 09:00:00,Jira,Scheduling,48,FALSE
E004,HR,2025-10-14 09:00:00,Workday,HR Admin,90,TRUE
E004,HR,2025-10-14 11:30:00,Gmail,Email Triage,45,TRUE
E004,HR,2025-10-14 14:00:00,Zoom,Meetings,60,false
E004,HR,2025-10-15 09:00:00,Workday,HR Admin,85,TRUE
E004,HR,2025-10-15 11:00:00,Gmail,Email Triage,52,yes
E004,HR,2025-10-15 14:30:00,Excel,Report Generation,70,TRUE
E004,HR,2025-10-16 09:00:00,Workday,HR Admin,95,1
E004,HR,2025-10-17 09:00:00,Gmail,Email Triage,48,TRUE
E004,HR,2025-10-17 14:00:00,Workday,Recruitment,120,false
E004,HR,2025-10-18 09:00:00,Workday,HR Admin,88,TRUE
